Titre,Note,Prix (£)
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Two,Â52.86
Future Shock (Future Shock #1),Five,Â55.65
Ender's Game (The Ender Quintet #1),One,Â43.64
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,One,Â28.41
Death by Leisure: A Cautionary Tale,Four,Â37.51
Brilliant Beacons: A History of the American Lighthouse,Three,Â11.45
Brazen: The Courage to Find the You That's Been Hiding,Two,Â19.22
Between the World and Me,Four,Â56.91
Being Mortal: Medicine and What Matters in the End,Four,Â55.06
"A Murder Over a Girl: Justice, Gender, Junior High",Three,Â13.20
32 Yolks,Two,Â53.63
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",Five,Â44.48
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Three,Â12.08
Wildlife of New York: A Five-Borough Coloring Book,Two,Â22.14
What Happened on Beale Street (Secrets of the South Mysteries #2),Five,Â25.37
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,Two,Â46.33
Under the Tuscan Sun,Three,Â37.33
Toddlers Are A**holes: It's Not Your Fault,One,Â25.55
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,One,Â34.72
The Whale,Four,Â35.96
The Story of Art,Four,Â41.14
The Origin of Species,Four,Â10.01
The Great Gatsby,Four,Â36.05
The Good Girl,Three,Â49.03
The Glass Castle,One,Â16.24
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,One,Â39.55
The Drowning Girls,Three,Â35.67
The Constant Princess (The Tudor Court #1),Three,Â16.62
The Bourne Identity (Jason Bourne #1),Four,Â42.78
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Five,Â52.30
The Art Book,Two,Â32.34
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Four,Â33.17
Team of Rivals: The Political Genius of Abraham Lincoln,Five,Â20.12
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Two,Â20.90
"Sit, Stay, Love",Three,Â20.90
Sister Dear,Four,Â40.20
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",Three,Â52.87
"Rich Dad, Poor Dad",One,Â51.74
Raymie Nightingale,Two,Â34.41
Playing from the Heart,One,Â32.38
Nightstruck: A Novel,Four,Â50.35
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",Five,Â11.38
Meternity,Three,Â43.58
Memoirs of a Geisha,Three,Â49.67
Like Never Before (Walker Family #2),Two,Â28.77
Life of Pi,Four,Â13.22
Leave This Song Behind: Teen Poetry at Its Best,Five,Â51.17
King's Folly (The Kinsman Chronicles #1),Five,Â39.61
John Adams,Four,Â57.43
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),Four,Â46.01
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,Two,Â28.25
Good in Bed (Cannie Shapiro #1),Five,Â37.05
"Fruits Basket, Vol. 7 (Fruits Basket #7)",One,Â19.57
For the Love: Fighting for Grace in a World of Impossible Standards,Three,Â45.13
Finding God in the Ruins: How God Redeems Pain,Two,Â46.64
Every Heart a Doorway (Every Heart A Doorway #1),Five,Â12.16
Delivering the Truth (Quaker Midwife Mystery #1),Four,Â20.89
Counted With the Stars (Out from Egypt #1),Five,Â17.97
"Chronicles, Vol. 1",Two,Â52.60
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,One,Â25.77
Benjamin Franklin: An American Life,Three,Â48.19
"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Five,Â29.93
A Summer In Europe,Two,Â44.34
A Short History of Nearly Everything,Five,Â52.40
A Gathering of Shadows (Shades of Magic #2),Four,Â44.81
The Sound Of Love,Five,Â57.84
The Rise and Fall of the Third Reich: A History of Nazi Germany,Two,Â39.67
The Perks of Being a Wallflower,Three,Â55.02
The Mysterious Affair at Styles (Hercule Poirot #1),Four,Â24.80
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Four,Â59.45
The Makings of a Fatherless Child,Two,Â31.58
The Joy of Cooking,Four,Â43.27
The Invention of Wings,One,Â37.34
The Hobbit (Middle-Earth Universe),Five,Â17.80
The Great Railway Bazaar,One,Â30.54
The Golden Compass (His Dark Materials #1),One,Â18.77
The God Delusion,Three,Â46.85
The Girl You Left Behind (The Girl You Left Behind #1),One,Â15.79
The Fellowship of the Ring (The Lord of the Rings #1),Two,Â10.27
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),Five,Â15.42
The Barefoot Contessa Cookbook,Five,Â59.92
Tell the Wolves I'm Home,Two,Â50.96
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,Three,Â30.60
Pride and Prejudice,Four,Â19.27
Musicophilia: Tales of Music and the Brain,One,Â46.58
Mere Christianity,Three,Â48.51
Me Before You (Me Before You #1),One,Â19.02
In the Woods (Dublin Murder Squad #1),Two,Â38.38
In Cold Blood,Four,Â49.98
How to Stop Worrying and Start Living,Five,Â46.49
Give It Back,Two,Â18.32
"Girl, Interrupted",Three,Â42.14
Fun Home: A Family Tragicomic,Four,Â56.59
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Four,Â20.96
Deception Point,Four,Â40.32
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Three,Â36.39
Catherine the Great: Portrait of a Woman,Four,Â58.55
Better Homes and Gardens New Cook Book,Three,Â39.61
An Unquiet Mind: A Memoir of Moods and Madness,Three,Â21.30
A Year in Provence (Provence #1),Four,Â56.88
World Without End (The Pillars of the Earth #2),Four,Â32.97
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",Four,Â47.31
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,Two,Â48.67
Where She Went (If I Stay #2),Four,Â41.73
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Four,Â53.68
Two Summers,One,Â14.64
This Is Your Brain on Music: The Science of a Human Obsession,One,Â38.40
The Secret Garden,Four,Â15.08
The Raven King (The Raven Cycle #4),Two,Â30.57
The Raven Boys (The Raven Cycle #1),Four,Â57.74
The Power Greens Cookbook: 140 Delicious Superfood Recipes,Five,Â11.05
The Metamorphosis,One,Â28.58
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,Five,Â42.91
The Little Paris Bookshop,Three,Â24.73
The Hiding Place,Four,Â55.91
The Grand Design,Three,Â13.76
The Firm,Three,Â45.56
The Fault in Our Stars,One,Â47.22
The False Prince (The Ascendance Trilogy #1),Five,Â56.00
The Expatriates,Two,Â44.58
The Dream Thieves (The Raven Cycle #2),One,Â34.50
The Darkest Corners,Five,Â11.33
The Crossover,Four,Â38.77
The 5th Wave (The 5th Wave #1),Two,Â11.83
Tell the Wind and Fire,Three,Â45.51
Tell Me Three Things,One,Â41.81
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,Four,Â25.15
Siddhartha,Five,Â34.22
Shiver (The Wolves of Mercy Falls #1),Five,Â16.23
Remember Me?,Three,Â11.48
Red Dragon (Hannibal Lecter #1),Three,Â23.37
Peak: Secrets from the New Science of Expertise,Two,Â16.28
My Mother Was Nuts,Four,Â31.63
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,Five,Â24.91
Maybe Something Beautiful: How Art Transformed a Neighborhood,One,Â22.54
Lola and the Boy Next Door (Anna and the French Kiss #2),Four,Â23.63
Logan Kade (Fallen Crest High #5.5),Two,Â13.12
Last One Home (New Beginnings #1),Three,Â59.98
Killing Floor (Jack Reacher #1),Four,Â31.49
Kill the Boy Band,Five,Â15.52
Isla and the Happily Ever After (Anna and the French Kiss #3),Five,Â48.13
If I Stay (If I Stay #1),Five,Â38.13
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),Two,Â36.55
Harry Potter and the Deathly Hallows (Harry Potter #7),One,Â23.32
"Fruits Basket, Vol. 5 (Fruits Basket #5)",One,Â16.33
Foundation (Foundation (Publication Order) #1),One,Â32.42
Fool Me Once,One,Â16.96
Find Her (Detective D.D. Warren #8),One,Â22.37
Evicted: Poverty and Profit in the American City,One,Â42.27
Drama,Two,Â38.70
Dracula the Un-Dead,Five,Â35.63
Digital Fortress,Five,Â58.00
"Death Note, Vol. 5: Whiteout (Death Note #5)",One,Â52.41
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",Three,Â32.35
Critique of Pure Reason,One,Â20.75
Booked,Five,Â17.49
"Blue Lily, Lily Blue (The Raven Cycle #3)",Five,Â34.13
Approval Junkie: Adventures in Caring Too Much,Five,Â58.81
An Abundance of Katherines,Five,Â10.00
America's War for the Greater Middle East: A Military History,Two,Â51.22
Alight (The Generations Trilogy #2),Four,Â58.59
A Girl's Guide to Moving On (New Beginnings #2),One,Â31.30
A Game of Thrones (A Song of Ice and Fire #1),Two,Â46.42
A Feast for Crows (A Song of Ice and Fire #4),Four,Â17.21
A Clash of Kings (A Song of Ice and Fire #2),Three,Â10.79
Vogue Colors A to Z: A Fashion Coloring Book,Four,Â52.35
The Shining (The Shining #1),Three,Â27.88
The Pilgrim's Progress,Two,Â50.26
The Perfect Play (Play by Play #1),Three,Â59.99
The Passion of Dolssa,Five,Â28.32
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,Three,Â38.71
The Hunger Games (The Hunger Games #1),Five,Â29.85
The Hound of the Baskervilles (Sherlock Holmes #5),Two,Â14.82
The Gunning of America: Business and the Making of American Gun Culture,Four,Â16.81
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Two,Â28.23
The Demonists (Demonist #1),Two,Â52.11
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Two,Â27.88
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),Three,Â59.71
The Beast (Black Dagger Brotherhood #14),Five,Â46.08
Some Women,Five,Â13.73
Shopaholic Ties the Knot (Shopaholic #3),Five,Â48.39
Paper and Fire (The Great Library #2),Five,Â49.45
Outlander (Outlander #1),Five,Â19.67
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",Three,Â12.36
No One Here Gets Out Alive,Five,Â20.02
Night Shift (Night Shift #1-20),Four,Â12.75
Needful Things,Four,Â47.51
Mockingjay (The Hunger Games #3),Four,Â20.44
Misery,Two,Â34.79
Little Women (Little Women #1),Four,Â28.07
It,Three,Â25.01
Harry Potter and the Sorcerer's Stone (Harry Potter #1),Three,Â13.90
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),Four,Â24.17
Harry Potter and the Order of the Phoenix (Harry Potter #5),Four,Â31.63
Harry Potter and the Half-Blood Prince (Harry Potter #6),Five,Â48.75
Harry Potter and the Chamber of Secrets (Harry Potter #2),One,Â14.74
Gone with the Wind,Three,Â32.49
God Is Not Great: How Religion Poisons Everything,One,Â27.80
Girl With a Pearl Earring,One,Â26.77
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Four,Â50.44
Far From True (Promise Falls Trilogy #2),Two,Â34.93
Dark Lover (Black Dagger Brotherhood #1),One,Â12.87
Confessions of a Shopaholic (Shopaholic #1),Two,Â48.94
Changing the Game (Play by Play #2),Three,Â13.38
Candide,Three,Â58.63
Can You Keep a Secret?,One,Â21.94
Atlas Shrugged,Five,Â26.58
Animal Farm,Three,Â57.22
A Walk to Remember,One,Â56.43
A New Earth: Awakening to Your Life's Purpose,Five,Â55.65
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",One,Â27.62
'Salem's Lot,Four,Â49.56
Zero History (Blue Ant #3),One,Â34.77
Wuthering Heights,Three,Â17.73
World War Z: An Oral History of the Zombie War,One,Â21.80
Wild: From Lost to Found on the Pacific Crest Trail,Three,Â46.02
"Where'd You Go, Bernadette",One,Â18.13
When You Are Engulfed in Flames,Five,Â30.89
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,Three,Â31.95
We Are All Completely Beside Ourselves,One,Â24.04
Walk the Edge (Thunder Road #2),Three,Â32.36
Voyager (Outlander #3),Five,Â21.07
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,Three,Â50.66
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,Two,Â13.66
"Unstuffed: Decluttering Your Home, Mind, and Soul",One,Â58.09
Under the Banner of Heaven: A Story of Violent Faith,One,Â30.00
Two Boys Kissing,Two,Â32.74
Twilight (Twilight #1),Two,Â41.93
Twenties Girl,Two,Â42.80
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",One,Â53.51
Three-Martini Lunch,Three,Â23.21
"Thinking, Fast and Slow",One,Â21.14
The Wild Robot,Three,Â56.07
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Three,Â14.41
The Undomestic Goddess,Four,Â45.75
The Travelers,One,Â15.77
The Tipping Point: How Little Things Can Make a Big Difference,Two,Â10.02
The Thing About Jellyfish,One,Â48.77
The Stand,Two,Â57.86
The Smitten Kitchen Cookbook,One,Â23.59
The Silkworm (Cormoran Strike #2),Five,Â23.05
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Five,Â55.55
The Rose & the Dagger (The Wrath and the Dawn #2),Four,Â58.64
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),One,Â23.21
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),Three,Â42.57
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),One,Â10.92
The Rest Is Noise: Listening to the Twentieth Century,One,Â34.77
The Red Tent,Five,Â35.66
The Purpose Driven Life: What on Earth Am I Here for?,Three,Â37.19
The Purest Hook (Second Circle Tattoos #3),One,Â12.25
The Picture of Dorian Gray,Two,Â29.70
The Paris Wife,Three,Â36.80
The Obsession,One,Â45.43
The Nightingale,Four,Â26.26
The New Guy (and Other Senior Year Distractions),Three,Â44.92
The Nanny Diaries (Nanny #1),Five,Â52.53
The Name of God is Mercy,Two,Â37.25
The Maze Runner (The Maze Runner #1),One,Â20.93
The Lover's Dictionary,Two,Â58.09
The Lonely Ones,Five,Â43.59
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Three,Â33.92
The Last Painting of Sara de Vos,Two,Â55.55
"The Land of 10,000 Madonnas",Four,Â29.64
The Infinities,One,Â27.41
The Husband's Secret,Five,Â52.51
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),Three,Â47.80
The Guns of August,Two,Â14.54
The Guernsey Literary and Potato Peel Pie Society,One,Â49.53
The Goldfinch,Three,Â43.58
The Giver (The Giver Quartet #1),One,Â12.30
The Girl with All the Gifts,Three,Â49.47
The Girl Who Played with Fire (Millennium Trilogy #2),Two,Â22.14
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),One,Â57.48
The Exiled,Three,Â43.45
"The End of Faith: Religion, Terror, and the Future of Reason",Four,Â22.13
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Four,Â13.03
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Five,Â57.35
The Devil Wears Prada (The Devil Wears Prada #1),One,Â44.29
The Demon-Haunted World: Science as a Candle in the Dark,Four,Â52.25
The Day the Crayons Came Home (Crayons),Five,Â26.33
The Da Vinci Code (Robert Langdon #2),Two,Â22.96
The Cuckoo's Calling (Cormoran Strike #1),One,Â19.21
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Four,Â26.78
The Complete Poems,Five,Â41.32
The Catcher in the Rye,One,Â24.55
The Cat in the Hat (Beginner Books B-1),Two,Â16.26
The Case for Christ (Cases for Christianity),One,Â47.84
The Book Thief,Two,Â53.49
The Book of Basketball: The NBA According to The Sports Guy,Five,Â44.84
The Blind Side: Evolution of a Game,Five,Â53.71
The Autobiography of Malcolm X,Two,Â23.43
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",Three,Â34.32
The Art of Fielding,One,Â22.10
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Two,Â25.83
Stiff: The Curious Lives of Human Cadavers,Three,Â36.74
Spilled Milk: Based on a True Story,One,Â49.51
Something Borrowed (Darcy & Rachel #1),Five,Â48.96
Something Blue (Darcy & Rachel #2),One,Â54.62
Soldier (Talon #3),Two,Â24.72
Shopaholic & Baby (Shopaholic #5),Two,Â46.45
Seven Days in the Art World,Two,Â52.33
Seven Brief Lessons on Physics,Four,Â30.60
Scarlet (The Lunar Chronicles #2),Four,Â14.57
Sarah's Key,One,Â46.29
"Saga, Volume 3 (Saga (Collected Editions) #3)",Five,Â21.57
Running with Scissors,Four,Â12.91
Rogue Lawyer (Rogue Lawyer #1),Three,Â50.11
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",Four,Â41.67
Rework,Two,Â44.88
Reservations for Two,Three,Â11.10
Red: The True Story of Red Riding Hood,Three,Â28.54
Ready Player One,Four,Â19.07
Quiet: The Power of Introverts in a World That Can't Stop Talking,One,Â43.55
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Three,Â43.63
Persepolis: The Story of a Childhood (Persepolis #1-2),One,Â39.13
Packing for Mars: The Curious Science of Life in the Void,Two,Â56.68
Outliers: The Story of Success,One,Â14.16
Original Fake,Three,Â31.45
Orange Is the New Black,Two,Â24.61
One for the Money (Stephanie Plum #1),Two,Â32.87
Notes from a Small Island (Notes From a Small Island #1),One,Â40.17
Night (The Night Trilogy #1),One,Â13.51
Neither Here nor There: Travels in Europe,Three,Â38.95
Naked,Three,Â31.69
Morning Star (Red Rising #3),One,Â29.40
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",One,Â57.83
Midnight Riot (Peter Grant/ Rivers of London - books #1),Two,Â55.46
Me Talk Pretty One Day,Two,Â57.60
Manuscript Found in Accra,Two,Â34.98
Lust & Wonder,Two,Â11.87
Lila (Gilead #3),Three,Â12.47
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",Two,Â33.26
Life Without a Recipe,Five,Â59.04
Life After Life,Two,Â26.13
Letter to a Christian Nation,One,Â22.20
Let's Pretend This Never Happened: A Mostly True Memoir,One,Â45.11
Legend (Legend #1),Four,Â43.69
"Lean In: Women, Work, and the Will to Lead",One,Â25.02
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Five,Â55.50
Lady Renegades (Rebel Belle #3),Five,Â53.04
Jurassic Park (Jurassic Park #1),One,Â44.97
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,One,Â42.38
Is Everyone Hanging Out Without Me? (And Other Concerns),Three,Â20.11
Into the Wild,Five,Â56.70
Inferno (Robert Langdon #4),Five,Â41.00
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Three,Â28.85
If I Run (If I Run #1),Four,Â49.97
I've Got Your Number,One,Â19.69
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,Two,Â28.88
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,Three,Â33.14
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",Two,Â43.70
House of Leaves,One,Â54.89
Horrible Bear!,Two,Â37.52
Holidays on Ice,Two,Â51.07
Heir to the Sky,Four,Â44.07
Green Eggs and Ham (Beginner Books B-16),Four,Â10.79
"Grayson, Vol 3: Nemesis (Grayson #3)",One,Â42.72
Gratitude,Five,Â26.66
Gone Girl,Five,Â37.60
Golden (Heart of Dread #3),Four,Â42.21
Girl in the Blue Coat,Two,Â46.83
"Fruits Basket, Vol. 3 (Fruits Basket #3)",Two,Â45.17
"Friday Night Lights: A Town, a Team, and a Dream",Three,Â51.22
Fire Bound (Sea Haven/Sisters of the Heart #5),Four,Â21.28
Fifty Shades Freed (Fifty Shades #3),Five,Â15.36
Fellside,One,Â38.62
Extreme Prey (Lucas Davenport #26),Three,Â25.40
Eragon (The Inheritance Cycle #1),Three,Â43.87
Eclipse (Twilight #3),One,Â18.74
Dune (Dune #1),One,Â54.86
Dracula,Three,Â52.62
Do Androids Dream of Electric Sheep? (Blade Runner #1),One,Â51.48
Disrupted: My Misadventure in the Start-Up Bubble,Five,Â15.28
Dead Wake: The Last Crossing of the Lusitania,Five,Â39.24
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",One,Â17.81
Darkfever (Fever #1),One,Â56.02
Dark Places,Five,Â23.90
Crazy Rich Asians (Crazy Rich Asians #1),Five,Â49.13
Counting Thyme,One,Â10.62
Cosmos,Two,Â36.17
Civilization and Its Discontents,Two,Â59.95
Cinder (The Lunar Chronicles #1),One,Â26.09
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,Two,Â37.35
Career of Evil (Cormoran Strike #3),Two,Â24.72
Breaking Dawn (Twilight #4),Five,Â35.28
Brave Enough,Five,Â51.32
Boy Meets Boy,Three,Â21.12
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Two,Â27.35
Blink: The Power of Thinking Without Thinking,Five,Â21.74
Black Flags: The Rise of ISIS,One,Â40.87
"Black Butler, Vol. 1 (Black Butler #1)",One,Â49.31
Big Little Lies,One,Â22.11
Between Shades of Gray,Five,Â20.79
Best of My Love (Fool's Gold #20),Two,Â27.41
Beowulf,Two,Â38.35
Beautiful Creatures (Caster Chronicles #1),Five,Â21.55
Awkward,Two,Â38.02
Ash,Four,Â22.06
Are We There Yet?,Three,Â10.66
Are We Smart Enough to Know How Smart Animals Are?,One,Â56.58
Annie on My Mind,Five,Â36.83
And Then There Were None,Two,Â35.01
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Four,Â30.48
A Visit from the Goon Squad,Five,Â14.08
A Storm of Swords (A Song of Ice and Fire #3),Two,Â31.22
A Heartbreaking Work of Staggering Genius,Five,Â54.29
8 Keys to Mental Health Through Exercise,One,Â31.04
#GIRLBOSS,One,Â50.96
"The Suffragettes (Little Black Classics, #96)",Two,Â11.89
The Sense of an Ending,Three,Â31.38
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",One,Â54.81
The Course of Love,Three,Â16.78
Sugar Rush (Offensive Line #2),One,Â24.42
"Saga, Volume 2 (Saga (Collected Editions) #2)",Three,Â11.75
"Run, Spot, Run: The Ethics of Keeping Pets",One,Â20.02
New Moon (Twilight #2),Four,Â12.86
Life,Five,Â31.58
Kindle Paperwhite User's Guide,Three,Â34.00
H is for Hawk,Five,Â57.42
Girl Online On Tour (Girl Online #2),One,Â53.47
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Five,Â11.64
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),Four,Â52.88
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Four,Â18.51
While You Were Mine,Five,Â41.32
Where Lightning Strikes (Bleeding Stars #3),Three,Â39.77
When I'm Gone,Three,Â51.96
Ways of Seeing,Five,Â39.51
"Vampire Knight, Vol. 1 (Vampire Knight #1)",One,Â15.40
Vampire Girl (Vampire Girl #1),Two,Â53.82
Twenty Love Poems and a Song of Despair,Four,Â30.95
Travels with Charley: In Search of America,Five,Â57.82
Three Wishes (River of Time: California #1),Two,Â44.18
This One Moment (Pushing Limits #1),One,Â48.71
The Zombie Room,Five,Â19.69
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Two,Â36.52
The Tumor,Five,Â41.56
The Story of Hong Gildong,Four,Â43.19
The Silent Wife,Five,Â12.34
The Silent Twin (Detective Jennifer Knight #3),Three,Â36.25
The Selfish Gene,One,Â29.45
The Secret Healer,Three,Â34.56
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Three,Â54.12
The Republic,Three,Â33.78
The Odyssey,Three,Â29.64
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Four,Â57.70
The Nicomachean Ethics,One,Â36.34
The Name of the Wind (The Kingkiller Chronicle #1),Three,Â50.59
The Mirror & the Maze (The Wrath and the Dawn #1.5),One,Â29.38
The Little Prince,Two,Â45.42
The Light of the Fireflies,One,Â54.43
The Last Girl (The Dominion Trilogy #1),Two,Â36.26
The Iliad,One,Â16.16
The Hook Up (Game On #1),Five,Â36.29
The Haters,Five,Â27.89
The Girl You Lost,Five,Â12.29
The Girl In The Ice (DCI Erika Foster #1),Three,Â15.85
The End of the Jesus Era (An Investigation #1),One,Â14.40
The Edge of Reason (Bridget Jones #2),Four,Â19.18
The Complete Maus (Maus #1-2),Three,Â10.64
The Communist Manifesto,Three,Â14.76
The Bhagavad Gita,Three,Â57.49
The Bette Davis Club,Three,Â30.66
The Art of Not Breathing,Four,Â40.83
Taking Shots (Assassins #1),Two,Â18.88
Starlark,Three,Â25.83
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Three,Â42.12
Sister Sable (The Mad Queen #1),Three,Â13.33
Shatter Me (Shatter Me #1),One,Â42.40
Shameless,Three,Â58.35
Shadow Rites (Jane Yellowrock #10),Four,Â21.72
Settling the Score (The Summer Games #1),Two,Â44.91
Sense and Sensibility,One,Â37.46
"Saga, Volume 1 (Saga (Collected Editions) #1)",One,Â28.48
"Rhythm, Chord & Malykhin",Two,Â28.34
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Five,Â46.96
Paradise Lost (Paradise #1),One,Â24.96
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Four,Â21.71
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",Three,Â29.87
Origins (Alphas 0.5),One,Â28.99
One Second (Seven #7),Two,Â52.94
On the Road (Duluoz Legend),Three,Â32.36
Old Records Never Die: One Man's Quest for His Vinyl and His Past,Two,Â55.66
Off Sides (Off #1),Five,Â39.45
Of Mice and Men,Two,Â47.11
Myriad (Prentor #1),Four,Â58.75
My Perfect Mistake (Over the Top #1),Two,Â38.92
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",Four,Â39.39
Meditations,Two,Â25.89
Matilda,One,Â28.34
Lost Among the Living,Four,Â27.70
Lord of the Flies,Three,Â24.89
Listen to Me (Fusion #1),Three,Â58.99
Kitchens of the Great Midwest,Five,Â57.20
Jane Eyre,Five,Â38.43
Imperfect Harmony,Four,Â34.74
Icing (Aces Hockey #2),Four,Â40.44
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Three,Â45.24
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),Four,Â34.96
"Giant Days, Vol. 1 (Giant Days #1-4)",Four,Â56.76
"Fruits Basket, Vol. 1 (Fruits Basket #1)",Five,Â40.28
Frankenstein,Two,Â38.00
Forever Rockers (The Rocker #12),Three,Â28.80
Fighting Fate (Fighting #6),Three,Â39.24
Emma,Two,Â32.93
"Eat, Pray, Love",Three,Â51.32
Deep Under (Walker Security #1),Five,Â47.09
Choosing Our Religion: The Spiritual Lives of America's Nones,Four,Â28.42
Charlie and the Chocolate Factory (Charlie Bucket #1),Three,Â22.85
Charity's Cross (Charles Towne Belles #4),One,Â41.24
Bright Lines,Five,Â39.07
Bridget Jones's Diary (Bridget Jones #1),One,Â29.82
Bounty (Colorado Mountain #7),Four,Â37.26
Blood Defense (Samantha Brinkman #1),Three,Â20.30
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Five,Â34.65
Beyond Good and Evil,One,Â43.38
Alice in Wonderland (Alice's Adventures in Wonderland #1),One,Â55.53
